Plate,Treatment,Aimulosia antarctica,Arachnopusia inchoata,Beania erecta,Cabarea darwinii,Celleporella antarctica,Celleporella dictyota,Chaperiopsis protecta,Ellisina antarctica,Figularia spatulata,Fenestrulina rugula,Micropora notialis,Smittina rogickae,Idmidronea,Tubulipora,Lichenopora,Romanchella perrieri,Protolaeospira stalagmia,Paralaeospira levinseni,Hydroid,Corella antarctica,Cnemidocarpa,Unk Ascidian,Beige
2,1,0,0.01,0,0,2,0,0,0.01,0.01,58,0.01,0,0.01,0.01,0,2,1,0.01,0,0,0.01,0,0
3,2,0.01,0.01,0.01,0,2,0,0.01,0.01,0.01,54,1,0,0.01,0.01,0,3,1,0.01,1,0,1,0,0
42,4,0.01,0.01,0,0,0.01,0.01,0,0.01,0.01,15,0,0.01,0,0.01,0.01,13,5,1,0,0.01,0,0,0
62,1,0.01,0.01,0,0,1,0.01,0.01,0.01,0,50,0.01,0,0.01,0.01,0.01,0.01,9,0.01,0,2,0.01,0,0
9,4,0.01,0.01,0,0.01,2,0.01,0.01,0.01,0,39,2,0,0.01,0.01,0.01,7,3,0.01,0,0,0.01,0.01,0
12,2,0.01,0.01,0,0,1,0,1,0.01,0,50,0.01,0,0,1,0.01,2,3,0.01,0,0,1,0.01,0.01
29,4,0,0.01,0,0,0.01,0.01,0.01,0.01,0,19,0.01,0,0,0.01,0,7,4,0.01,0,0,0.01,0.01,0
14,1,0.01,0.01,0.01,0,1,0.01,1,0.01,0.01,56,0.01,0,0.01,2,0,4,2,2,0,0,2,0,0
18,2,0,0.01,0,0,0.01,0,0.01,0.01,0,15,0.01,0,0.01,1,0,0.01,3,0.01,0,1,0,0.01,0
59,1,0.01,0.01,0,0,0.01,0,0.01,0.01,0,73,1,0,1,0.01,0.01,2,1,0.01,0,0,0,0,0
13,2,0,0.01,0,0,1,0,0.01,0.01,0.01,30,1,0.01,0.01,1,0,0.01,7,0.01,0,0,0.01,0,0
26,4,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,29,2,0,0.01,0.01,0.01,3,6,0.01,0,0.01,0,0,0
